,year,month,day,title,director,cast,genre,href,gross,budget,writer1(lakon layar),writer2 (script),genre1,genre2,genre3,genre_final,cast1,cast2,cast3,cast4,cast5,cast6,cast7,cast8,cast9,case10,cast1_gender,cast2_gender,cast3_gender,cast4_gender,cast5_gender,cast6_gender,cast7_gender,cast8_gender,cast9_gender,cast10,cast10_gender,male_dist3,female_dist3,male_dist4,female_dist4,male_dist5,female_dist5,male_dist6,female_dist6,male_dist7,female_dist7,male_dist8,female_dist8,male_dist9,female_dist9,male_dist10,female_dist10,gender_majority,year_col
413,2013,12,12,Papadom 2,Afdlin Shauki,"Afdlin Shauki, Liyana Jasmay, Noorkhiriah, Vanida Imran, Khir Rahman, Riezman Khuzaimi, Scha Alyahya, Chelsia Ng, Hans Isaac, Pete Teo",Comedy,"Tayangan Unggul, Astro Shaw, Ismail Holdings & Vision Works",620000.00,1000.00,,,COMEDY,,,COMEDY,AFDLIN SHAUKI, LIYANA JASMAY, NOORKHIRIAH, VANIDA IMRAN, KHIR RAHMAN, RIEZMAN KHUZAIMI, SCHA ALYAHYA, CHELSIA NG, HANS ISAAC, PETE TEO,M,F,F,F,M,M,F,F,M, PETE TEO,M,0.333333333,0.666666667,0.25,0.75,0.4,0.6,0.5,0.5,0.428571429,0.571428571,0.375,0.625,0.444444444,0.555555556,0.5,0.5,Female,29
362,2013,3,21,Bola Kampung The Movie,Wong Kuan Loong,"Ezlynn, Afdlin Shauki, Harris Alif, Aznil Nawawi, Adila Shakir, Baki Zainal, Marsha Milan Londoh",Adventure / Animation,,650000.00,6000000.00,,,ADVENTURE,ANIMATION,,ANIMATION,EZLYNN, AFDLIN SHAUKI, HARRIS ALIF, AZNIL NAWAWI, ADILA SHAKIR, BAKI ZAINAL, MARSHA MILAN LONDOH,,,,F,M,M,M,M,M,F,,,,,0.666666667,0.333333333,0.75,0.25,0.8,0.2,0.833333333,0.166666667,0.714285714,0.285714286,0.714285714,0.285714286,0.714285714,0.285714286,0.714285714,0.285714286,Male,30
372,2013,5,16,O.M.K (Oh Mak Kau!),Nurul Ain Nordin,"Shuib Sepahtu, Jep Sepahtu, Nurul Ain Nordin, Syamsul Yusof, Didie Alias, Wan Maimunah, Yassin Yahya",Action / Comedy,[25],660000.00,1600000.00,,,ACTION,COMEDY,,ACTION_COMEDY,SHUIB SEPAHTU, JEP SEPAHTU, NURUL AIN NORDIN, SYAMSUL YUSOF, DIDIE ALIAS, WAN MAIMUNAH, YASSIN YAHYA,,,,M,M,F,M,F,F,M,,,,,0.666666667,0.333333333,0.75,0.25,0.6,0.4,0.5,0.5,0.571428571,0.428571429,0.571428571,0.428571429,0.571428571,0.428571429,0.571428571,0.428571429,Male,31
365,2013,4,4,2 Kalimah,Eyra Rahman,"Shaheizy Sam, Nora Danish, Yana Samsudin, Wan Hanafi Su",Romance,MIG Pictures,670000.00,1720000.00,,,ROMANCE,,,ROMANCE,SHAHEIZY SAM, NORA DANISH, YANA SAMSUDIN, WAN HANAFI SU,,,,,,,M,F,F,M,,,,,,,,0.333333333,0.666666667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,Male,32
395,2013,9,19,Dampak,"Andy Mak, Lai Yuk Long","Aaron Aziz, Farid Kamil, Michael Chin, Intan Ladyana, Juliana Evans, Scha Alyahya",Action,Ops Picture,700000.00,2530000.00,,,ACTION,,,ACTION,AARON AZIZ, FARID KAMIL, MICHAEL CHIN, INTAN LADYANA, JULIANA EVANS, SCHA ALYAHYA,,,,,M,M,M,F,F,F,,,,,,1,0,0.75,0.25,0.6,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,Male,33
406,2013,11,21,Kisah Paling Gengster,Brando Lee,"Shaheizy Sam, Epy Raja Lawak, Mikail Andre, Wawa Zainal, Zul Handyblack, Wan Hanafi Su, Fyza Kadir",Action / Drama,,730000.00,690000.00,,,ACTION,DRAMA,,ACTION,SHAHEIZY SAM, EPY RAJA LAWAK, MIKAIL ANDRE, WAWA ZAINAL, ZUL HANDYBLACK, WAN HANAFI SU, FYZA KADIR,,,,M,M,M,F,M,M,F,,,,,1,0,0.75,0.25,0.8,0.2,0.833333333,0.166666667,0.714285714,0.285714286,0.714285714,0.285714286,0.714285714,0.285714286,0.714285714,0.285714286,Male,34
417,2013,12,26,Tokan,Ghaz Abu Bakar,"Johan As'ari, Zizan Razak, Pekin Ibrahim, Sofi Jikan, Wan Hanafi Su, Liyana Jasmay, Wanna Ali",Action / Comedy,Pencil Pictures,780000.00,1000.00,,,ACTION,COMEDY,,ACTION_COMEDY,JOHAN AS'ARI, ZIZAN RAZAK, PEKIN IBRAHIM, SOFI JIKAN, WAN HANAFI SU, LIYANA JASMAY, WANNA ALI,,,,M,M,M,M,M,F,M,,,,,1,0,1,0,1,0,0.833333333,0.166666667,0.857142857,0.142857143,0.857142857,0.142857143,0.857142857,0.142857143,0.857142857,0.142857143,Male,35
369,2013,5,2,Bisikan Syaitan,Faizul A. Rashid,"Fizz Fairuz, Nabila Huda, Wan Sharmila, Azam Pitt",Horror,Primeworks Studios,790000.00,1040000.00,,,HORROR,,,HORROR,FIZZ FAIRUZ, NABILA HUDA, WAN SHARMILA, AZAM PITT,,,,,,,M,F,F,M,,,,,,,,0.333333333,0.666666667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,Male,36
376,2013,5,30,"Bro, Nampak Motor Gua?",Mohd Razif Rashid,"Along Cham, Along Eyzendy, Mon Ryanti, Mamat Khalid, Shah Rempit, Fadzil Zahari",Action / Comedy,,790000.00,1260000.00,,,ACTION,COMEDY,,ACTION_COMEDY,ALONG CHAM, ALONG EYZENDY, MON RYANTI, MAMAT KHALID, SHAH REMPIT, FADZIL ZAHARI,,,,,M,M,M,M,M,M,,,,,,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,Male,37
386,2013,8,15,Ge Mei Lia,Euho,"William Yap, Mingirl Loh, Edmund Chen, Lynn Lim, Melvin Sia, Joannabelle Li",Comedy,,840000.00,3010000.00,,,COMEDY,,,COMEDY,WILLIAM YAP, MINGIRL LOH, EDMUND CHEN, LYNN LIM, MELVIN SIA, JOANNABELLE LI,,,,,M,M,M,F,M,F,,,,,,1,0,0.75,0.25,0.8,0.2,0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333,Male,38
